x,y,yaw_rad
3.0,0.0,1.5865832245516251
2.9985047673785217,0.0947056492944316,1.6023701223083622
2.99402055999448,0.18931689393802092,1.6339439178218291
2.9865518478033177,0.28373942338453484,1.6655177133352976
2.9761060757797724,0.37787911520315265,1.69709150884876
2.9626936564965707,0.47164212890175233,1.7286653043622155
2.9463279597449414,0.5649349994691537,1.7602390998756838
2.927025299207321,0.6576647305430741,1.7918128953891552
2.9048049161955216,0.7497388871109252,1.8233866909026206
2.879688960470571,0.8410656876510434,1.854960486416084
2.8517024681633485,0.9315540956225066,1.8865342819295496
2.8208733368180265,1.0211139102123385,1.918108077443013
2.787232297583192,1.1096558562496406,1.9496818729564807
2.750812884578366,1.197091673197023,1.9812556684699485
2.71165140146647,1.2833342031306287,2.012829463983412
2.66978688526554,1.3682974776210477,2.0444032594968755
2.6252610674357806,1.4518968034285162,2.0759770550103385
2.5781183322807357,1.53404884692698,2.107550850523804
2.528405672704052,1.6146717171728657,2.1391246460372693
2.476172643365929,1.6936850475357539,2.1706984415507353
2.4214713112859565,1.7710100758095848,2.2022722370642027
2.3643562039415773,1.8465697227245372,2.233846032577667
2.3048842549139126,1.9202886687813212,2.2654198280911295
2.243114747135128,1.9920934293312937,2.296993623604595
2.1791092537939187,2.061912427827553,2.3285674191180625
2.112931576958017,2.1296760671739987,2.3601412146315295
2.0446476839749015,2.1953167991012306,2.3917150101449947
1.974325641714113,2.2587691915001313,2.423288805658459
1.902035548716716,2.3199699936460174,2.4548626011719232
1.82784946531955,2.378858199248336,2.486436396685389
1.7518413418239187,2.4353751072630625,2.518010192198855
1.6740869447803206,2.4894643804071777,2.5495839877123214
1.5946637814627043,2.5410721013168964,2.5811577832257866
1.5136510226075326,2.5901468262936698,2.6127315787392504
1.4311294234946685,2.636639636584381,2.644305374252717
1.3471812434487604,2.6805041871446216,2.675879169766181
1.2618901638413524,2.721696752836444,2.7074529652796437
1.1753412046754794,2.7601762720145233,2.739026760793111
1.0876206398358736,2.795904387457304,2.770600556306574
0.9988159110892834,2.8288454846023114,2.802174351820037
0.9090155409206184,2.8589667270475183,2.8337481473335067
0.8183090442918096,2.8862380892833888,2.8653219428469736
0.7267868394113496,2.910632386622959,2.896895738360437
0.6345401576034573,2.932125302300122,2.9284695338739044
0.5416609523667071,2.9506954117091095,2.960043329387369
0.4482418077127828,2.966324203761008,2.991617124900836
0.35437584587672416,2.9789960993360083,3.0231909204143013
0.26015663449065213,2.9886984668130196,3.0547647159277584
0.1656780933135245,2.995421634661137,3.0863385114412245
0.07103440060987232,2.9991589010804343,3.1179123069546972
-0.02368010072913994,2.9999065406824688,-3.133699204711427
-0.1183709972287581,2.997663808203827,-3.1021254091979626
-0.212943898944048,2.9924329392490163,-3.070551613684491
-0.3073045335498399,2.98421914806197,-3.0389778181710314
-0.40135884031343716,2.9730306223283764,-3.0074040226575676
-0.495013063856398,2.958878515014008,-2.975830227144103
-0.5881738476119341,2.941776933247213,-2.9442564316306377
-0.6807483268847702,2.9217429242566135,-2.9126826361171703
-0.7726442214206901,2.898796458378066,-2.8811088406037055
-0.8637699273934993,2.872960409147789,-2.8495350450902386
-0.9540346087177145,2.844260530501529,-2.8179612495767716
-1.0433482875959472,2.812725431102475,-2.786387454063306
-1.1316219342107279,2.7783865458235235,-2.7548136585498435
-1.2187675554713673,2.74127810441231,-2.7232398630363766
-1.304698282727379,2.7014370973702544,-2.691666067522913
-1.389328458361043,2.658903239079626,-2.6600922720094484
-1.4725737211727803,2.6137189282153788,-2.628518476495982
-1.5543510904742321,2.5659292054812353,-2.5969446809825185
-1.634579048805211,2.515581708712132,-2.565370885469053
-1.7131776231920839,2.4627266253877877,-2.5337970899555877
-1.7900684648665672,2.4074166426047343,-2.502223294442123
-1.865174927365485,2.3497068945566717,-2.4706494989286574
-1.9384221429336295,2.2896549075755055,-2.43907570341519
-2.0097370971535655,2.227320542787849,-2.4075019079017244
-2.079048701727995,2.162765936444149,-2.375928112388263
-2.146287865342114,2.0960554379799197,-2.344354316874797
-2.2113875625353367,2.0272555458708266,-2.31278052136133
-2.2742829005137364,1.9564348413455603,-2.2812067258478645
-2.3349111838365904,1.8836639200225747,-2.249632930334398
-2.3932119769125584,1.8090153215388431,-2.218059134820933
-2.449127164243197,1.7325634572407658,-2.1864853393074677
-2.502601008353752,1.6543845360093223,-2.1549115437940056
-2.5535802053534837,1.5745564882934053,-2.1233377482805382
-2.6020139380701437,1.4931588884270488,-2.0917639527670717
-2.6478539267056407,1.4102728753080087,-2.0601901572536097
-2.6910544769623903,1.3259810715167375,-2.028616361740142
-2.731572525592386,1.2403675009564026,-1.9970425662266769
-2.7693676833235816,1.1535175050960331,-1.965468770713215
-2.8044022751207947,1.065517657900286,-1.933894975199749
-2.8366413777410013,0.976455679530635,-1.9023211796862838
-2.866052854545585,0.8864203489040103,-1.8707473841728195
-2.8926073875348357,0.7955014151960363,-1.8391735886593525
-2.9162785065727714,0.7037895083771067,-1.8075997931458858
-2.937042615773144,0.6113760488704572,-1.776025997632417
-2.9548790170203314,0.5183531564222983,-1.744452202118951
-2.969769930601671,0.4248135582748548,-1.7128784066054878
-2.981700512930663,0.33085049673382527,-1.6813046110920267
-2.9906588713433795,0.2365576362224298,-1.649730815578565
-2.9966360759533313,0.14202896991467462,-1.6181570200650983
-2.9996261685529726,0.04735872604091046,-1.5865832245516283
-2.999626168552972,-0.04735872604091106,-1.5550094290381624
-2.9966360759533313,-0.1420289699146739,-1.5234356335246968
-2.9906588713433795,-0.23655763622242906,-1.491861838011228
-2.981700512930663,-0.3308504967338245,-1.4602880424977673
-2.969769930601671,-0.42481355827485545,-1.4287142469843064
-2.9548790170203314,-0.518353156422299,-1.397140451470841
-2.937042615773144,-0.6113760488704565,-1.3655666559573745
-2.9162785065727714,-0.7037895083771061,-1.3339928604439073
-2.8926073875348357,-0.7955014151960357,-1.3024190649304428
-2.8660528545455852,-0.8864203489040097,-1.2708452694169756
-2.8366413777410013,-0.9764556795306356,-1.2392714739035093
-2.804402275120795,-1.0655176579002854,-1.207697678390044
-2.769367683323582,-1.1535175050960325,-1.176123882876578
-2.7315725255923864,-1.240367500956402,-1.1445500873631158
-2.6910544769623908,-1.3259810715167366,-1.1129762918496524
-2.6478539267056407,-1.4102728753080094,-1.0814024963361848
-2.6020139380701437,-1.4931588884270492,-1.0498287008227183
-2.5535802053534837,-1.5745564882934047,-1.018254905309257
-2.502601008353753,-1.6543845360093221,-0.9866811097957914
-2.449127164243198,-1.732563457240765,-0.9551073142823238
-2.393211976912559,-1.809015321538843,-0.9235335187688606
-2.3349111838365904,-1.8836639200225753,-0.8919597232553935
-2.274282900513737,-1.9564348413455597,-0.8603859277419285
-2.2113875625353376,-2.027255545870826,-0.8288121322284635
-2.1462878653421145,-2.0960554379799192,-0.7972383367149978
-2.079048701727996,-2.162765936444149,-0.7656645412015336
-2.0097370971535655,-2.22732054278785,-0.7340907456880654
-1.93842214293363,-2.289654907575505,-0.702516950174601
-1.8651749273654854,-2.3497068945566717,-0.6709431546611379
-1.7900684648665672,-2.4074166426047348,-0.6393693591476706
-1.713177623192085,-2.4627266253877873,-0.6077955636342046
-1.6345790488052108,-2.5155817087121326,-0.5762217681207401
-1.5543510904742333,-2.565929205481235,-0.5446479726072735
-1.4725737211727812,-2.6137189282153783,-0.5130741770938085
-1.3893284583610424,-2.658903239079626,-0.4815003815803457
-1.3046982827273794,-2.7014370973702544,-0.4499265860668801
-1.2187675554713666,-2.74127810441231,-0.41835279055341423
-1.1316219342107292,-2.7783865458235226,-0.38677899503995117
-1.0433482875959472,-2.812725431102475,-0.3552051995264879
-0.9540346087177138,-2.844260530501529,-0.3236314040130203
-0.8637699273935,-2.8729604091477885,-0.2920576084995546
-0.7726442214206897,-2.898796458378066,-0.26048381298609097
-0.6807483268847716,-2.9217429242566135,-0.22891001747262332
-0.5881738476119343,-2.941776933247213,-0.1973362219591548
-0.49501306385639676,-2.9588785150140082,-0.16576242644568862
-0.4013588403134379,-2.973030622328376,-0.1341886309322234
-0.3073045335498393,-2.98421914806197,-0.10261483541876393
-0.2129438989440487,-2.9924329392490163,-0.07104103990530025
-0.11837099722875816,-2.9976638082038267,-0.03946724439183313
-0.023680100729141337,-2.999906540682469,-0.007893448878370714
0.07103440060987157,-2.9991589010804347,0.023680346635098007
0.16567809331352512,-2.995421634661137,0.055254142148570766
0.26015663449065146,-2.9886984668130196,0.08682793766203506
0.3543758458767241,-2.9789960993360083,0.1184017331754923
0.44824180771278144,-2.966324203761008,0.1499755286889555
0.5416609523667063,-2.95069541170911,0.18154932420242217
0.6345401576034578,-2.932125302300122,0.21312311971589104
0.7267868394113488,-2.910632386622959,0.24469691522935663
0.8183090442918096,-2.8862380892833888,0.27627071074281784
0.9090155409206171,-2.8589667270475188,0.30784450625628645
0.9988159110892834,-2.8288454846023114,0.3394183017697548
1.0876206398358743,-2.795904387457304,0.3709920972832181
1.1753412046754788,-2.7601762720145238,0.40256589279668425
1.261890163841353,-2.7216967528364435,0.4341396883101487
1.3471812434487591,-2.6805041871446225,0.46571348382361183
1.4311294234946685,-2.636639636584381,0.4972872793370783
1.5136510226075328,-2.5901468262936693,0.5288610748505438
1.5946637814627032,-2.541072101316897,0.5604348703640072
1.6740869447803206,-2.489464380407177,0.5920086658774723
1.7518413418239174,-2.435375107263063,0.6235824613909376
1.8278494653195496,-2.378858199248336,0.6551562569044029
1.9020355487167162,-2.319969993646017,0.6867300524178687
1.9743256417141124,-2.258769191500132,0.7183038479313351
2.0446476839749015,-2.19531679910123,0.7498776434447992
2.1129315769580157,-2.1296760671739996,0.7814514389582637
2.1791092537939183,-2.061912427827553,0.8130252344717291
2.2431147471351265,-1.992093429331295,0.8445990299851962
2.304884254913912,-1.9202886687813217,0.8761728254986633
2.3643562039415773,-1.846569722724537,0.9077466210121264
2.4214713112859556,-1.7710100758095857,0.9393204165255915
2.4761726433659286,-1.6936850475357539,0.9708942120390572
2.528405672704051,-1.6146717171728668,1.0024680075525214
2.5781183322807357,-1.5340488469269802,1.0340418030659904
2.6252610674357806,-1.4518968034285153,1.0656155985794529
2.66978688526554,-1.3682974776210486,1.0971893940929158
2.71165140146647,-1.2833342031306287,1.1287631896063823
2.7508128845783655,-1.1970916731970243,1.160336985119848
2.787232297583191,-1.109655856249641,1.1919107806333142
2.8208733368180265,-1.0211139102123379,1.2234845761467747
2.8517024681633485,-0.9315540956225075,1.255058371660241
2.8796889604705713,-0.841065687651043,1.2866321671737082
2.9048049161955216,-0.7497388871109265,1.3182059626871736
2.927025299207321,-0.6576647305430744,1.3497797582006403
2.9463279597449414,-0.5649349994691529,1.3813535537141088
2.9626936564965707,-0.47164212890175317,1.4129273492275747
2.976106075779773,-0.3778791152031524,1.4445011447410352
2.9865518478033173,-0.28373942338453617,1.4760749402544977
2.99402055999448,-0.1893168939380212,1.5076487357679622
2.9985047673785217,-0.09470564929443073,1.539222531281431
3.0,-7.347880794884119e-16,1.5550094290381675
